,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
574,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.41000000000000003,w,6143804a-b2f1-11ee-8ec0-6cfe544c0428,timeout,180
575,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.39,w,4669ea16-b2f2-11ee-8ec0-6cfe544c0428,win,180
576,d2d3,d2d4,r2qkb1r/ppp2ppp/2np1n2/4p3/2b5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 0 7,0.75,w,4669ea16-b2f2-11ee-8ec0-6cfe544c0428,win,180
577,b1c3,c4d5,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.79,w,3376ec8d-b2f4-11ee-8ec0-6cfe544c0428,timeout,180
578,b1d2,c1g5,rnbqkb1r/pp3ppp/5n2/2p1p3/2Pp4/3P2P1/PP2PPBP/RNBQK1NR w KQkq - 0 7,0.3900000000000001,w,3376ec8d-b2f4-11ee-8ec0-6cfe544c0428,timeout,180
579,d1b3,f3g5,r2qk2r/pp2bppp/2n1bn2/2p1p3/2Pp4/3P1NP1/PP1NPPBP/R1BQ1RK1 w kq - 6 10,0.45999999999999996,w,3376ec8d-b2f4-11ee-8ec0-6cfe544c0428,timeout,180
580,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.36,w,b521f8f4-b2f8-11ee-8ec0-6cfe544c0428,win,180
581,b1c3,c4d5,r1bqkb1r/ppp1pppp/2n2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,1.38,w,b521f8f4-b2f8-11ee-8ec0-6cfe544c0428,win,180
582,d1b3,g1f3,r3kb1r/ppp2ppp/2n2q2/4pb2/2Pp4/3P2P1/PP2PPBP/R1BQK1NR w KQkq - 0 8,0.98,w,b521f8f4-b2f8-11ee-8ec0-6cfe544c0428,win,180
583,a2a4,g1f3,2kr1b1r/ppp2ppp/2n2q2/4pb2/2Pp4/1Q1P2P1/PP2PPBP/R1B1K1NR w KQ - 2 9,1.9,w,b521f8f4-b2f8-11ee-8ec0-6cfe544c0428,win,180
584,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.38,w,756eaeaf-b2fa-11ee-8ec0-6cfe544c0428,resigned,180
585,b1c3,d1a4,rnbqkbnr/ppp2ppp/4p3/8/2p5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.33,w,756eaeaf-b2fa-11ee-8ec0-6cfe544c0428,resigned,180
